gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
43,x*x*x*x,25,-10,0.020575573955674265,0,0.05674199709323359,0,395736.5482666667,367.24800000000005,1526264.8904000001,367.24800000000005,0.9978443428404796,0,0.0516396420450754,0,15044359.453333333,6120.8,70985313.84,6120.8,((((x)*(x))*((8)*((7)*(3))))*((6)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,MutateTerminalR,43,42,44,44,3
44,x*x*x*x,25,-10,0.03517035085279973,-0.0015019571048769129,0.05978602217814226,0.00046673637433015334,1296209.0993333336,649.3035333333332,4437063.5384,364.3912,0.9991814400013604,0,0.9806548390581996,0,37736755.546666674,6120.8,186938037.84,6120.8,((((x)*(x))*((x)*((6)*(3))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,44,43,45,45,3
45,x*x*x*x,25,-10,0.031309353535160726,0,0.05942139310284203,0,1420861.8924,367.24800000000005,5040229.3296,367.24800000000005,0.9992632976146881,0,0.7969728804333237,0,52245162.49333333,6120.8,207709385.84,6120.8,((((x)*(x))*((x)*((x)*(5))))*((x)*((4)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,45,43,46,46,3
46,x*x*x*x,25,-10,0.030601870835612995,0.000040027447392497955,0.05963973198141723,0.0002170304535354858,3013609.9017333332,367.00300000000004,10789262.661600001,365.9196,0.9997368953391391,0.02170304535354858,0.014874461894267667,0.008686313615507053,176973050.96,6096.3,581593649.84,5987.96,((((x)*(x))*((x)*((8)*(7))))*((x)*((x)*((x)*(x))))),((((5)*(9))*((2)+(5)))-((x)*((6)-((0)*(x))))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,46,46,47,47,3
47,x*x*x*x,25,-10,0.023240213761889356,-0.0005198993161261465,0.05991760937210435,0.006035681610247027,3448746.534533333,478.89660000000003,13668648.4312,330.30479999999994,0.9996993086566257,0.49409227551953994,0.025777835744022856,0.20147457773789196,123997127.85333331,5613.786666666667,508893931.84,3096.56,((((x)*(x))*((x)*((x)*(x))))*((7)*((7)*((x)*(x))))),(((x)*((x)*(8)))*((3)+((0)*(6)))),MultXD|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,47,46,48,48,3
48,x*x*x*x,25,-10,0.02978829240015375,-0.004462407013545098,0.059746931070540174,0.005015030714939227,1047275.0736,870.0923333333334,2817002.8048,336.55199999999996,0.9983788642581068,0.3192785256829172,1.0096376406681147,0.12938714297525722,33291706,5782.306666666666,94390615.2,4166.56,((((x)*(x))*((x)*((x)*(8))))*((2)*((7)*((x)*(x))))),((((4)*(9))*((x)*(1)))*((1)*((x)+(2)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,MutateTerminalR,48,46,49,49,3
49,x*x*x*x,25,-10,0.02567059316570969,-0.0015269550748584374,0.059726516815012606,0.0008599529473271463,1864555.0038666665,1428.505,6117165.4848,361.98440000000005,0.9991594373407372,0.02169651026009675,0.7985430117133486,0.00885756322271616,66703899.173333324,6098.666666666667,182044727.2,5988,((((x)*(6))*((9)*((x)*(x))))*((4)*((x)*((x)*(x))))),(((8)*((2)*(5)))+((5)+(7))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,49,49,50,50,3
50,x*x*x*x,25,-10,0.009144086930535941,-0.0028289279071797547,0.0597854166452964,0.00010240491439027773,1379447.4358666667,545.3879999999999,5700073.0672,366.62120000000004,0.9989475591304129,0.002770879623578623,1.0664832964968285,0.0011122337403281658,39547193.546666674,6117.639999999999,145395341.84,6103.84,((((5)+(9))*((x)*((x)*(x))))*((x)*((x)*((x)*(x))))),((x)+((3)*(4))),MultXD|AddTreeWithMult|AddToLeafR|ReplaceBranchR|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|AddToLeafR|ReplaceBranchXR,MultXD,DeleteNonTerminalR,49,50,51,51,3
51,x*x*x*x,25,-10,0.02670831361408132,0.00015576253372830126,0.059782846625477795,0.005757155927329762,1576284.7081333334,371.04839999999996,5686999.527199999,332.0096000000001,0.9994596447790799,0.5435367925761339,0.44731610519746484,0.22115854680096414,78640942.62666667,5556.82,283184087.2,2793.92,((((x)*(8))*((7)*((6)*(x))))*((x)*((x)*((x)*(x))))),(((x)*((x)*(8)))+((4)*((1)*(7)))),MultXD|MutateTerminalR|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR,MultXD,DeleteMaliciousR,51,50,52,52,3
52,x*x*x*x,25,-10,0.01989244669983045,0.0007993542724851749,0.05985221480232727,0.005809567376813489,2265975.037066667,362.3586666666667,9695643.551200002,331.68879999999996,0.9997697836243243,0.39738596261926545,1.0012509606348436,0.1619763811116464,127663651.82666665,5712.193333333334,664679041.84,3688.48,((((x)*(x))*((x)*((x)*(8))))*((8)*((x)*((x)*(x))))),((((x)+(x))*((x)*(x)))*((2)*((2)-(0)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR,MultXD,DeleteMaliciousR,52,50,53,53,3
53,x*x*x*x,25,-10,0.01586153540523096,-0.0064228586775025775,0.05958157183681401,0.01384276565154882,1229787.6454666667,2127.7407333333335,5475758.1944,282.5192,0.9995196854015844,0.4492484642530388,0.7949416293336793,0.18227703854135183,66491503.02666666,5647.38,318582863.2,3371.04,((((x)*(7))*((6)*((x)*(x))))*((9)*((x)*((x)*(x))))),((((1)*(x))*((2)+(6)))*((x)*((x)+(1)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,53,53,54,54,3
54,x*x*x*x,25,-10,0.027896477809963058,-0.01653173686799887,0.05808414149890326,0.00046993857012155466,1764140.9978666666,5671.894399999999,6573406.34,364.37160000000006,0.9995368398121887,0.038295647627761165,0.008413702087193395,0.016391518665145453,68180970.70666666,6054.613333333334,330382455.2,5886.4,((((7)*(7))*((8)*((x)*(x))))*((x)*((x)*((x)*(x))))),(((0)+((9)*(2)))+((6)*((2)+(7)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,54,53,55,55,3
55,x*x*x*x,25,-10,0.02276773194292977,-0.005883617435717669,0.05972670738255924,0.007729512482028494,1243154.4844,1569.3093333333331,3739770.4879999994,319.93719999999996,0.9987895718637054,0.041354071363220474,0.7915350878235915,0.016723893117006904,39469843.906666666,6076.533333333333,126418079.2,5867.68,((((x)*(x))*((x)*((6)*(5))))*((5)*((x)*((x)*(x))))),((((3)*(9))+((5)*(6)))-((0)*((x)+(x)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,55,55,56,56,3
56,x*x*x*x,25,-10,0.019665735053916143,-0.0008622797624470489,0.059355112273007285,0.0005724741863808677,1829433.9165333332,376.3972,7662585.5608,363.744,0.9996397657814459,0.02658476016207036,0.7972463357778288,0.011003825093285772,84142328.66666667,6079.173333333333,424779191.2,5958.08,((((x)*(7))*((8)*((9)*(x))))*((x)*((x)*((x)*(x))))),((((x)*(4))*((1)-(5)))*((2)-((8)+(1)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddToLeafR,MultXD,AddToLeafR,55,56,57,57,3
57,x*x*x*x,25,-10,0.009690928458427218,-0.004777820244039088,0.04703933043153007,0.0002461116193961594,1864577.3799999997,1195.1661663492064,5640463.6472000005,365.74159999999995,0.999386083362392,0.005973075414978499,0.7985813607582598,0.002649712987658874,79031330.01333334,6106.413333333334,249252081.84,6084.24,((((x)*(x))*((3)*((8)*(x))))*((x)*((x)*((x)*(x))))),((((5)-(1))*((x)*(5)))+((9)+((5)*(0)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,57,57,58,58,3
58,x*x*x*x,25,-10,0.03620534048547967,-0.020947862118196416,0.0598380047335754,0.0040129525552215425,1617074.9097333334,1025.6115754761906,5147165.368,342.68551999999994,0.9987449126557634,0.0020128087831657003,0.7968770568099899,0.000976950935613764,44129990.306666665,6115.526666666668,121919801.6,6108.48,((((x)*(x))*((x)*((1)-(x))))*((x)*((x)*((x)*(x))))),((9)+(7)),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,58,58,59,59,3
59,x*x*x*x,25,-10,0.043070931815429425,-0.011354229109944394,0.0598258254176557,0.006108090445693377,1860263.3694666668,2782.727606428571,4784727.2047999995,329.86159999999995,0.9991814400013604,0.0013919749052412162,0.008741840331011238,0.09965207548017753,64505807.800000004,6480.32,186938037.84,6112.28,((((6)*(3))*((x)*((x)*(x))))*((x)*((x)*((x)*(x))))),((9)+(2)),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,59,59,60,60,3
60,x*x*x*x,25,-10,0.014510199029917938,-0.011046205098937755,0.05626873832563324,0.014209122990458765,1834893.878733333,825.5958375661374,7565744.537600001,280.2768,0.9992907789821515,0.45468566200496663,0.7957985885727479,0.18257047530702036,55172368.906666666,5605.186666666666,215757847.2,3337.76,((((x)*(x))*((4)*((8)*(8))))*((x)*((x)*((x)*(x))))),(((8)+((9)*(9)))*((1)*((x)*(x)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,60,59,61,61,3
61,x*x*x*x,25,-10,0.03254672062106752,-0.00724283083650694,0.059803017925593324,0.011085239402256785,1218043.1029333333,749.8588666666666,4775216.307999999,299.3974666666667,0.9993293777514004,0.44133228771838107,0.7947605648939914,0.0007902195441090558,45607315.49333334,6116.540000000001,228176145.84,3419.4933333333333,((((x)*(x))*((9)*((9)*(x))))*((5)*((8)*((x)*(x))))),((((x)*(x))*((x)*(9)))+((1)/((3)-(0)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,61,61,62,62,3
62,x*x*x*x,25,-10,0.028716182661799136,-0.01417909307527176,0.05943385681268255,0.0006024049143902776,2410959.3014666666,610.6339999999999,7920951.5432,363.56080000000003,0.9992907789821515,0.0018886420075807737,0.7973498572958823,0.0008756870787810998,75483302.83999999,6116.033333333333,215757847.2,6109.24,((((8)*(8))*((4)*((x)*(x))))*((x)*((x)*((x)*(x))))),((7)+(8)),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,MutateTerminalR,62,62,63,63,3
63,x*x*x*x,25,-10,0.02836534371993821,-0.002081538050297122,0.059764369283784695,0.003182721212913347,1306299.3910666667,623.9560666666666,3861699.943199999,347.7672,0.9981686895355726,0.21772317344138026,0.7965930908068104,0.08877320520107614,40394362.24,5897.2733333333335,83557650.64,4788.16,((((x)*(x))*((x)*((x)+(9))))*((9)*((7)*((x)*(x))))),((((4)+(5))*((5)+(3)))*((x)*((x)*(8)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|SubXD|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,63,63,64,64,3
64,x*x*x*x,25,-10,0.01878191982022539,-0.0025153858121683857,0.04007505769902603,0.0016779505946935066,1646464.9845333332,2395.1080666666667,5698431.347200001,356.9776,0.9993293777514004,0.15982224545811002,0.7887215268211913,0.06480334846142564,68061380.05333333,5952.133333333334,228176145.84,5142.56,((((x)*(5))*((9)*((x)*(x))))*((8)*((9)*((x)*(x))))),((((0)*(1))*((4)+(7)))+((2)*((9)*((x)*(x))))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,64,63,65,65,3
65,x*x*x*x,25,-10,0.009134795667511898,-0.007442178438799605,0.05698421640885829,0.004558031629852311,505186.74992169306,544.7024,2144114.0790857146,339.3492,0.9987721465563328,0.44909162201019476,1.0549814589440207,0.1882307116960638,24734784.813333333,5400.48,124623993.84,3372,((((x)*(4))*((3)*((x)*(x))))*((x)*((x)*((x)*(x))))),((((6)+(x))*((x)*(x)))*((x)*((5)-(4)))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,64,65,66,66,3
66,x*x*x*x,25,-10,0.024192361983713245,-0.0017927978111156812,0.05862815620615699,0.011773297608155797,1337226.0354666666,453.9842,4314562.2584,295.18600000000004,0.9994956691871887,0.5670631290027447,1.0101167812149972,0.26579277977394555,79306466.32000001,5838.399999999999,303411959.2,2649.92,((((x)*(x))*((x)*((5)*(8))))*((9)*((x)*((x)*(x))))),((((1)-(3))*((8)+(5)))*((x)*((x)-((5)*(x))))),MultXD|AddTreeWithMult|AddToLeafR|MultXD|MultXD,DeleteMaliciousR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,MutateTerminalR,66,66,67,67,3
67,x*x*x*x,25,-10,0.018287587708227027,-0.0040350518861541895,0.039183149231431263,0.007919030192131749,149293.11066666667,808.9966666666666,384532.5688,318.7772,0.9806948443047141,0.25693373415239845,0.7807006866259586,0.10478805743497538,4181702.4266666663,5857.373333333334,7926380,4548.16,((((3)*(6))*((x)*((x)*(x))))*((8)*((9)-((x)*(x))))),((((x)*(x))*((6)*(0)))+((2)+((3)+(0)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,67,67,68,68,3
68,x*x*x*x,25,-10,0.023914567865724247,-0.002747867075311369,0.05725653694238007,0.0018277349366095969,168650.87273333332,430.2828,485844.09319999994,356.06080000000003,0.9903511816756846,0.04174617697033075,0.42121557624714306,0.017042805381539416,5695313.5200000005,6078.213333333333,15858936.8,5865.28,((((6)*(8))*((x)*((x)*(x))))*((9)*((6)-((x)*(x))))),((((6)*(2))*((x)*(2)))*((9)+((2)+(8)))),MultXD|AddTreeWithMult|DeleteNonTerminalR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,68,68,69,69,3
69,x*x*x*x,25,-10,-0.015847255794511277,-0.008921274839228086,0.022094131038200845,0.00008802770879623744,NaN,NaN,890960.9556,366.70920000000007,0.9975442507715617,0.0017644752319958472,0.9406715274279809,0.0007043080557402422,11452131.326666666,6117.426666666666,62310922.56,6110,((((x)*(x))*((x)*((6)*(x))))*((x)*((x)-((x)*(x))))),((5)+(9)),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteNonTerminalR,69,69,70,70,3
70,x*x*x*x,25,-10,0.006718571588750737,-0.01076142323574051,0.04998911761904463,0.00721500457456542,NaN,NaN,440930.1892,323.08639999999997,0.9902975686861122,0.14515749575218934,0.7802097365475962,0.06025613148236593,4606138.213333334,5983.013333333333,15771304.64,5232.32,((((x)*(x))*((x)*((4)*(7))))*((x)*((8)-((x)*(x))))),(((x)*((x)*(9)))+((4)*((x)+(6)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,70,70,71,71,3
71,x*x*x*x,25,-10,0.02929864867080523,-0.001536737401610946,0.05866848795134943,0.0005553522415370541,166491.32466666668,417.6196,527879.9208000001,363.8488,0.9870622985009216,0.0021108351849431564,0.7755419729631289,0.000823834005021218,4281636.666666667,6117.66,11827448.64,6107.88,((((x)*(x))*((x)*((x)*(8))))*((7)*((3)-((x)*(x))))),((9)+(8)),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,MutateTerminalR,71,70,72,72,3
72,x*x*x*x,25,-10,0.009106534035664107,-0.0031915729241883267,0.04197822121853328,0.0019358907332374885,143850.59253333334,579.1974666666666,511410.2736,355.3988,0.9932926869637341,0.08161024702653255,0.7652540925402158,0.03308200308292981,5421753.653333333,6034.553333333332,22813904.64,5621.28,((((x)*(x))*((x)*((x)*(6))))*((9)*((6)-((x)*(x))))),((((x)*(1))*((2)+(1)))*((x)*((3)-((8)*(0))))),MultXD|DeleteNonTerminalR|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteNonTerminalR,71,72,73,73,3
73,x*x*x*x,25,-10,0.019411883736268568,0.0017466562105171446,0.05664137993841371,0.01030322833616521,121990.14626666666,356.5570666666666,387541.016,304.184,0.9926320141222497,0.5524245196706313,0.9929750972858281,0.22462379139577476,5255944.906666666,5545.533333333333,20768226.56,2739.52,((((x)*(x))*((2)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(x))*((4)*(2)))+((3)*((2)*(3)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,73,73,74,74,3
74,x*x*x*x,25,-10,0.0252640755021754,-0.00737618091493852,0.058265921712270984,0.009645144425565291,132971.02719999998,1594.096,451156.3728,308.212,0.9909183630466547,0.45160109789569997,0.10683749767665844,0.18988841882968682,4997862.640000001,5716.746666666667,16849385.28,3356.64,((((x)*(x))*((x)*((4)*(5))))*((x)*((x)-((x)*(x))))),((((x)*(6))*((6)+((4)*(6))))-((5)*((x)*((1)-(0))))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteNonTerminalR,74,73,75,75,3
75,x*x*x*x,25,-10,0.022884104042880313,-0.0012950131780822855,0.05784129403581855,0.000965756110312376,301660.11640000006,501.724,976299.0623999999,361.3368,0.99747809863644,0.09104038687753231,1.00226101169795,0.038717180137266084,14479151.466666667,5969.893333333333,60676441.28,5563.56,((((x)*(x))*((x)*((9)*(8))))*((x)*((x)-((x)*(x))))),(((x)*((x)*(1)))*((4)+((6)+(9)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,DeleteMaliciousR,75,75,76,76,3
76,x*x*x*x,25,-10,0.019296132543193973,-0.0054929591133692935,0.058661449329673356,0.015658998823683178,143799.4208666667,579.3774666666667,560978.3656,271.4024,0.9931010138568251,0.7492615344399425,0.769813535087248,0.0003602352330396828,5106642.1866666665,6119.606666666667,22180070.64,1534.72,((((5)*(9))*((7)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(x))*((x)*((1)+(x))))+((1)*((0)-((x)*(x))))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,AddTreeWithAdd,76,76,77,77,3
77,x*x*x*x,25,-10,0.024633140778800806,-0.003142387419838908,0.05778397470906573,0.006697359822245459,174627.04786666666,1346.8713333333333,633029.5056,326.25480000000005,0.9950724142315602,0.31216834400731935,0.7808428700865405,0.12789456464068127,7407229.946666666,5716.88,31053746.64,4210.08,((((x)*(7))*((7)*((9)*(x))))*((x)*((x)-((x)*(x))))),((((2)*(x))*((x)*((4)+(6))))*((9)+((0)-((x)*(0))))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd,MultXD,AddRandomSubTreeR,77,77,78,78,3
78,x*x*x*x,25,-10,0.013859430542944943,-0.0016640151150636995,0.05653152139418402,0.00012736897137629076,66892.79866666667,454.4268,234535.54000000004,366.46840000000003,0.9818846941628739,0.0065220232649327,0.9574880169028599,0.0025436469284414753,2156375.8666666667,6111.860000000001,8447000.64,6080.88,((((x)*(x))*((x)*((x)*(9))))+((6)*((8)-((x)*(x))))),(((7)+(9))*((8)-(x))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd,MultXD,AddRandomSubTreeR,78,77,79,79,3
79,x*x*x*x,25,-10,0.02940284875403762,-0.0052476436834110116,0.058743458774194506,0.00033544634688276284,215632.8509333333,841.4456,811111.0880000001,365.1948,0.9967575144084431,0.010050973728924394,0.09353368597768838,0.004033243989210627,10088605.573333332,6109.3,47192191.2,6059.28,((((x)*(8))*((7)*((x)*(x))))*((x)*((x)-((x)*(x))))),(((x)+(5))*((5)+(7))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|AddRandomSubTreeR,AddXD|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,79,79,80,80,3
80,x*x*x*x,25,-10,0.015024175095448672,-0.009422055701537984,0.058043217781351776,0.00044543196967716846,159528.89119999998,1235.6999333333333,701158.3912000001,364.52160000000003,0.9966466462286263,0.01614821591948767,0.9671059949253276,0.0065531320989260945,8082173.346666667,6103.793333333334,45631928.64,6021.96,((((x)*(9))*((x)*((x)*(9))))*((8)*((x)-((x)*(x))))),(((9)*((7)*(3)))*((1)-(0))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,80,80,81,81,3
81,x*x*x*x,25,-10,-0.0015470348444753513,-0.006632796163655395,0.03714892720447627,0.001622075545680305,78993.99273333332,2030.486,342962.3512,357.31960000000004,0.9932738991348252,0.0010194745784864367,0.9399126446128012,0.00041546784878726507,4415320.399999999,6119.353333333333,22750179.2,6114.56,((((9)*(3))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),(8),MultXD|AddTreeWithMult|AddToLeafR|SubXD|SubXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR,SubXD,DeleteNonTerminalR,81,80,82,82,3
82,x*x*x*x,25,-10,0.03035409179833827,-0.0004477632119776721,0.05862018456602383,0.00004626846163900393,205075.56780000002,370.81566666666663,585798.2035999999,366.96479999999997,0.9924328797122804,0.001143641354071363,0.7835865610060336,0.0002852776014797336,7541090.12,6116.280000000002,20221695.2,6113.8,((((x)*(8))*((x)*((3)*(x))))*((x)*((x)-((x)*(x))))),(9),MultXD|AddTreeWithMult|AddToLeafR|SubXD|SubXD,FellTreeD|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,SubXD,SkipD,81,82,83,83,3
83,x*x*x*x,25,-10,0.0087134238088065,0.0007097816880711324,0.05845046800771895,0.005690236570382956,305549.1614,363.1686000000001,1239835.1632,332.4192,0.9971628715249589,0.5639262841458633,0.7752440103101682,0.230199556929147,11057122.546666667,5545.240000000001,53934815.2,2669.12,((((8)*(8))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((8)*(5))+((7)*(x)))*((x)-((x)-(x)))),MultXD|AddTreeWithMult|AddToLeafR|FellTreeD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,83,82,84,84,3
84,x*x*x*x,25,-10,0.01760160530052405,-0.01990531738770531,0.054712102977082226,-0.01952868906025356,50084.99393333334,633.1304666666666,146335.8332,630.8252,0.9546785824735355,0.0382825774408575,0.9316850108120577,0.015559817026869744,1265650.1466666667,6080.833333333333,3376328.64,5886.48,((((x)*(2))*((8)*((x)*(3))))*((x)*((x)-((x)*(x))))),((((x)*(3))+((0)*(0)))*((5)*((9)+(4)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,SkipD,84,84,85,85,3
85,x*x*x*x,25,-10,0.02295892923848375,-0.0037305544971575886,0.05721889040510384,0.0061312246765128755,124792.63046666665,1324.0053333333333,415884.1568,329.72,0.9913514851391136,0.5290419552999608,0.7652291910957113,0.21590766926605867,4507598.94,5580.193333333334,17693211.2,2882.64,((((x)*(7))*((x)*((x)*(x))))*((3)*((x)-((x)*(x))))),((((4)+(9))*((5)*(x)))*((x)*((2)+(0)))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,DeleteMaliciousR,84,85,86,86,3
