gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
22,x*x*x*x,25,-10,-0.04519974885819401,0.00016523771976397362,-0.0002347106370740626,0.0008099594824206019,3319.000733333333,366.2366666666666,15470.8824,362.2903999999999,0.8171042236756778,0.045863285844987625,0.7150127153569662,0.01779766691324006,177743.30666666667,6057.873333333334,836651.36,5840.08,((((x)*(x))-((0)*(x)))*((x)*((x)-((x)*(x))))),(((0)+((x)*(x)))*((5)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddToLeafR|AddXD,MultXD,AddTreeWithAdd,22,21,23,23,4
23,x*x*x*x,25,-10,-0.03775465182345716,0.0004750108974237411,0.015496673770284092,0.002988236831786695,5265.549533333334,365.37333333333333,19310.642400000004,348.9576,0.6343054470564529,0.2848385831917397,0.8482499562374773,0.18412401144739854,190204.50666666668,5966.759999999999,418436.64,4377.36,((((8)-(2))*((x)*(x)))*((x)*((x)-((x)*(x))))),((((x)*((x)-(5)))+((0)*((x)*(7))))-(((9)*(3))*((x)-((x)*((x)+(x)))))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddToLeafR|AddXD,MultXD,AddTreeWithAdd,23,21,24,24,4
24,x*x*x*x,25,-10,-0.04672544367659217,-0.0033323958410573333,-0.026528956916739926,0.009887596392628414,3013.5442666666663,605.1189333333334,8708.1712,306.728,0.7303742325303929,0.009475885505162724,0.7467906991878295,0.0031795439646853207,225074.6,6109.026666666668,567527.36,6062.8,((((x)*(0))-((8)*(x)))*((x)*((x)-((x)*(x))))),((((0)*((9)-(5)))*(((x)*(1))*((1)-(2))))*(((x)-(x))*((2)+((6)+((9)+(x)))))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,FellTreeD|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddXD,MultXD,FellTreeD,24,24,25,25,4
25,x*x*x*x,25,-10,-0.045405496841933485,-0.002722080312713907,-0.0014201401429467686,0.0012983923670108499,3019.4878000000003,421.0952666666667,12588.777600000003,359.30080000000004,0.6343054470564529,0.009462815318259063,0.8043523978202559,0.003854004004047434,131856.51333333334,6109.253333333334,418436.64,6062.88,((((x)*(x))*((x)*(8)))-((2)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithAdd,25,25,26,26,4
26,x*x*x*x,25,-10,-0.04758646730931944,-0.000010870440758129995,0.0023714065740925217,0.00026303751143641355,3769.6184,367.31693333333334,20764.6704,365.63800000000003,0.7944613140248574,0.009462815318259063,0.7161064274547657,0.0036022972879818146,129227.78666666667,6106.446666666667,744482.72,6062.88,((((x)*(x))*((2)-(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,25,26,27,27,4
27,x*x*x*x,25,-10,-0.03837820851208185,-0.0008345076125803834,0.017000975290190606,0.001347013462292513,5283.4472000000005,384.48426666666666,23072.995999999996,359.0032,0.7941854359362828,0.009462815318259063,0.7902340945377776,0.0035752814852508625,197428.53333333335,6106.473333333334,743484.8,6062.88,((((x)*(2))-((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,27,27,28,28,4
28,x*x*x*x,25,-10,-0.03548432252117079,0.00006480020825511861,0.005414475768869399,0.00028074761469089327,6232.158066666667,366.8514,19438.536799999998,365.5296,0.7554288967135729,0.009462815318259063,0.8989211033680741,0.0036434192848605806,252180.12000000002,6107.766666666666,625666.72,6062.88,((((x)*(x))*((x)*(x)))-((4)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|SubXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,SubXD,AddTreeWithSub,28,28,29,29,4
29,x*x*x*x,25,-10,-0.033874983538719074,-0.00021196127072656002,0.02395775030777247,0.0030986145601882126,7744.006866666667,371.3358,27258.262400000003,348.282,0.8078229207901891,0.009462815318259063,0.9119423773274279,0.00361216910210699,267471.32666666666,6106.133333333334,796244.8,6062.88,((((x)*(1))-((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,29,29,30,30,4
30,x*x*x*x,25,-10,-0.037665008720366766,0.0000800576513907578,0.01902637801177028,0.00034492223238792444,5849.747333333333,366.758,24749.124,365.1368,0.8047943786496129,0.009462815318259063,0.8588134752725609,0.003612444613733363,240749.08,6106.533333333333,783891.36,6062.88,((((x)*(x))*((x)-(1)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub,DeleteMaliciousR,AddTreeWithSub,30,30,31,31,4
31,x*x*x*x,25,-10,-0.05203101341136274,0.00006551769094318718,-0.02429587003816726,0.00020572474186381025,1741.378533333333,366.84700000000004,8595.231200000002,365.98879999999997,0.7264024529445118,0.009462815318259063,0.6883215137677972,0.00329301904342125,98362.10666666667,6102.833333333333,559288.64,6062.88,((((x)*(x))*((x)*(8)))-((0)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,30,31,32,32,4
