gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
42,x*x*x*x,25,-10,-0.034940977063669144,0.00022133904893438015,0.02163624601072824,0.0009052411449483728,5602.376333333333,365.8934,20763.6576,361.7072,0.5884149818452866,0.07830348973990324,0.7633389562119539,0.031458397672700214,148588.8933333333,6017.946666666668,371782.24,5641.52,((((x)*(x))*((x)*(x)))-((9)*((x)-((x)*(x))))),((((0)*(x))*((x)-((x)-(9))))*(((x)-(x))*((x)-((x)+(x))))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,42,41,43,43,4
43,x*x*x*x,25,-10,-0.04403395312204685,-0.0038094787055258737,-0.0067903326325181165,0.004334895531863252,4095.427866666667,818.4188746031746,15741.851999999999,340.71497142857146,0.6413666821538511,0.009462815318259063,0.8446699221541007,0.00430655551461926,191577.62666666668,6096.053333333334,426675.36,6062.88,((((x)*(x))*((x)*(1)))-((7)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,43,43,44,44,4
44,x*x*x*x,25,-10,-0.03806645968338354,-0.012105667267168415,0.0020633110656917155,0.0022353940661351468,5035.813,669.0211555555557,17305.622399999997,353.56559999999996,0.7329786170700477,0.009462815318259063,0.8312716281471224,0.0036638632267166956,157630.09333333332,6106.82,573062.72,6062.88,((((x)*(x))*((x)-(5)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteTerminalR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithSub|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,44,44,45,45,4
45,x*x*x*x,25,-10,-0.05057770738746857,-0.000902373273304568,-0.023886176359839518,0.009178146647497063,2249.387533333333,434.51259999999996,10371.6672,311.07039999999995,0.7601392051607033,0.30345052934256966,0.7186376626401111,0.0038445730598348758,133232.2,6109.713333333333,637953.36,4263.44,((((x)*(x))*((0)-(9)))*((x)*((x)-((x)*(x))))),((((x)*(6))-((0)*(7)))-((2)*((x)*((6)+(x))))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MutateTerminalR,AddTreeWithSub|SkipD|AddTreeWithSub|ReplaceBranchXR|AddXD,SubXD,AddTreeWithSub,45,45,46,46,4
46,x*x*x*x,25,-10,-0.04072844545822857,0.00007492711368234938,0.015885447180639688,0.0002919226244935322,4404.146133333333,366.7894,19584.7328,365.4612,0.7264024529445118,0.009462815318259063,0.8073451730446181,0.0034184334044151127,144967.30000000002,6104.833333333333,559288.64,6062.88,((((8)-(0))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,46,46,47,47,4
47,x*x*x*x,25,-10,-0.03249481688923962,0.00008979641391692267,0.018360999177200462,0.0012023264932688538,6158.997866666667,366.73746666666665,22193.576,359.88880000000006,0.7744341661452305,0.009462815318259063,0.7335309894164317,0.003608416130931644,196599.86666666667,6107.246666666666,678382.88,6062.88,((((x)*(x))-((3)*(x)))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddTreeWithMult|AddXD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddXD,47,47,48,48,4
48,x*x*x*x,25,-10,-0.06245970242791654,-0.0021692573862404684,-0.027012236264009486,0.004579401385439813,2719.2410666666665,1378.6761333333334,12910.136,339.21840000000003,0.8199770466616859,0.20876356031891258,0.7120049599524074,0.10853062833667003,156836.1066666667,6055.066666666666,850002.72,4843,((((x)*(x))*((0)-(x)))*((x)*((x)-((x)*(x))))),((((x)+(7))-((7)*((0)*(2))))-(((4)*(x))-((x)*((x)+(x))))),DeleteMaliciousR|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,ReplaceBranchXR,47,48,49,49,4
49,x*x*x*x,25,-10,-0.038448458120892696,-0.00404876309741833,-0.028561754608288137,0.008893935433276698,9311.154733333333,718.0542,15209.259200000002,312.81,0.8847974838842958,0.008979218402823166,0.12774222371915858,0.004101330271526624,874199.8799999999,6099.2,1328269.6,6065.84,((((9)*(8))*((x)*((2)-(5))))*((x)*((x)-((x)*(x))))),(((3)+((7)*(x)))*((3)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddRandomSubTreeR,49,48,50,50,4
50,x*x*x*x,25,-10,-0.03207303563616455,-0.000967198589206832,0.004831748907995029,0.006628479937263104,9266.305266666668,393.89126666666664,28511.633999999995,326.6764,0.906442967493584,0.2948307410795975,0.6937416046951346,0.11609167287490373,627921.6733333333,5725.953333333334,1635579.88,4316.2,((((7)*(4))*((x)*((3)-(x))))*((x)*((x)-((x)*(x))))),((((x)*((x)+(5)))*((x)*((1)-(3))))*(((0)-(7))-((0)*((x)+(x))))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD,MultXD,AddRandomSubTreeR,50,50,51,51,4
51,x*x*x*x,25,-10,-0.011624924859603248,-0.012358329561634091,0.034491079125204896,0.0013394327538883825,36101.56706666666,18775.401399999995,138983.3088,359.0496,0.9784613424929521,0.009462815318259063,0.35202120467790143,0.003671495522992184,1782155.4000000001,6106.473333333332,7104435.36,6062.88,((((x)*(9))*((x)-((1)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddXD,51,51,52,52,4
52,x*x*x*x,25,-10,-0.012146310106956744,-0.0053971140016985135,0.03059517628353081,0.004354202065089533,20450.9644,519.2047333333334,63266.714400000004,340.59680000000003,0.9461956839416753,0.3975820154228205,0.24182007518003082,0.15875062735581963,1070000.52,5615.153333333333,2844009.76,3687.28,((((x)-(7))*((6)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(x))*((x)*(8)))-((6)*((x)+((0)+(x))))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,ReplaceBranchXR|DivXD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,ReplaceBranchXR,52,52,53,53,4
53,x*x*x*x,25,-10,-0.016850016948366426,-0.0011700284351710327,0.02653783874314752,0.009711867729708536,23421.121133333334,15982.611200000001,71316.0744,307.8036,0.9397963509868803,0.4414717030453536,0.909984857717363,0.20773198236576965,922201.1733333332,5890.900000000001,2541706.4,3418.64,((((x)*(x))*((6)*((x)*(x))))-((8)*((x)-((x)*(x))))),((((x)*((x)*(x)))*((6)-((1)-(8))))+(((4)*(x))-((x)*((2)+(x))))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddRandomSubTreeR,53,53,54,54,4
54,x*x*x*x,25,-10,0.014347886109347657,-0.0057144154420370515,0.043338876767037925,0.02008312638870736,50033.264533333335,62621.354133333334,128544.11039999999,244.32319999999999,0.9637471231297619,0.9286367795059469,0.45713369557641464,0.4217008396490822,1448373.2933333332,5614.079999999999,4220906.4,436.8,((((0)-(5))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(1))*((x)*(0)))-((x)*((1)-((x)+(x))))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,ReplaceBranchXR,54,54,55,55,4
55,x*x*x*x,25,-10,0.01623128127801119,-0.005511726809426825,0.05492832080676987,0.001191412887204288,44882.59186666668,1073.8603333333333,123685.64640000001,359.95560000000006,0.9422644993756325,0.11107044830741082,0.39635179564825446,0.04531863411321685,1133022.1066666667,6007.160000000001,2650362.4,5440.96,((((2)-(8))*((9)*((8)*(x))))*((x)*((x)-((x)*(x))))),((((x)*(5))-((3)*((7)*(1))))-((8)*((x)+((4)+(x))))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddRandomSubTreeR,55,55,56,56,4
56,x*x*x*x,25,-10,0.010425049378585323,-0.003505770614678383,0.054107915649453,0.00021206378251209025,37529.39973333334,526.9652000000001,109027.99519999999,365.95,0.919700732153842,0.009462815318259063,0.9458877505806864,0.00386496629421117,861603.1200000001,6110.56,1905621.36,6062.88,((((x)*(9))*((3)-((6)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,FellTreeD,56,56,57,57,4
57,x*x*x*x,25,-10,0.008626580152801095,0.000017584932150809123,0.054417527449235045,0.00028153182590511146,46858.642266666655,367.14706666666666,143662.836,365.52479999999997,0.9611598403694314,0.0022088615867207613,0.8956838489197146,0.001007773079061185,1056967.7066666668,6114.7733333333335,3939736.64,6107.28,((((x)*(x))*((7)-((0)*(8))))*((x)*((x)-((x)*(x))))),((x)*((6)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,AddTreeWithSub,57,57,58,58,4
58,x*x*x*x,25,-10,0.026975692435327145,0.00006696630793363712,0.05552867247016696,0.00035152267677427914,67467.99813333334,366.8381229629629,208378.37039999999,365.0964,0.9816256244934138,0.009462815318259063,0.16614760151341593,0.0037611325192443137,2708260.506666667,6108.366666666666,8327902.08,6062.88,((((x)*(x))*((x)-((3)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,58,58,59,59,4
59,x*x*x*x,25,-10,0.015680611402992938,0.00007256421051151668,0.05673723642303632,0.00019291595869820924,63589.82666666667,366.80386666666675,187871.68960000004,366.0672,0.9566731306814488,0.009462815318259063,0.7478567508990938,0.004469840859219949,1757737.8133333335,6098.106666666667,3531757.6,6062.88,((((0)-(8))*((x)*((8)*(9))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,FellTreeD,59,59,60,60,4
60,x*x*x*x,25,-10,0.0011435567762429044,0.00009201593863985485,0.05448168517728993,0.00035616259312508316,45933.86046666666,366.68479999999994,169392.3984,365.068,0.976961109726884,0.009462815318259063,0.74893809938922,0.003629227928843893,1832429.2533333332,6106.373333333334,6641812.96,6062.88,((((x)*(9))*((2)-((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,60,60,61,61,4
61,x*x*x*x,25,-10,0.007597257153258045,-0.0008753890579130921,0.03645068913769687,0.00019383087178146698,38438.72406666667,380.06786666666665,118814.21040000001,366.06160000000006,0.9696977694896849,0.009462815318259063,0.7108762176050013,0.0037311925461724314,1171561.12,6108.553333333333,5049793.28,6062.88,((((x)*(x))*((x)*((6)-(0))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithSub|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR,MultXD,FellTreeD,61,61,62,62,4
62,x*x*x*x,25,-10,0.011233753060593482,0.00005780383527663296,0.052293360056547444,0.0001357992419291609,42828.38826666667,366.89419999999996,130271.23200000002,366.4168,0.9654493281680342,0.003097634296170441,0.9186114512556021,0.0011583435476799826,1191002.4266666668,6112.2266666666665,4428857.44,6101.84,((((7)*(4))-((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,62,62,63,63,4
63,x*x*x*x,25,-10,0.017465617559307728,-0.0015334765074969492,0.05587104246119714,0.0009052411449483741,65745.82566666666,887.7977333333333,205290.99520000003,361.7072,0.9740906358390272,0.003097634296170441,0.9588379175147236,0.0011639176824251919,1962661.5599999998,6112.386666666666,5905972.8,6101.84,((((x)*(x))*((x)*((x)*(2))))-((9)*((x)-((x)*(x))))),((x)*((9)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,63,63,64,64,4
64,x*x*x*x,25,-10,0.008703849101755028,0.00005113030428646664,0.0540445322999853,0.0001335773101555356,60237.85786666665,366.9350666666667,178596.55920000002,366.4304,0.9642545053059003,0.0028100901842896056,0.7482349943051902,0.0009989626589793031,1724589.2533333332,6110.446666666667,4280819.2,6103.6,((((x)*(x))*((x)*((x)-(9))))*((x)*((x)-((x)*(x))))),((x)*((8)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|ReplaceBranchR,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,AddTreeWithMult,FellTreeD,64,63,65,65,4
65,x*x*x*x,25,-10,0.024188829156775702,-0.00453567602542358,0.05536742518004818,0.0011905633250555488,54871.53279999999,5299.218133333334,129235.1984,359.9608,0.959806923619097,0.05376421382825773,0.7510033758519842,0.0037109405295913467,1592009.8666666665,6105.106666666667,3807123.36,5791.72,((((x)*(x))*((9)*((3)-(9))))*((x)*((x)-((x)*(x))))),((((x)-(1))-((6)*(x)))-((x)*((x)+(x)))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|ReplaceBranchR,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,AddTreeWithMult,MutateTerminalR,64,65,66,66,4
66,x*x*x*x,25,-10,0.0035485580171363486,0.00008689695974537405,0.04439124534477339,0.00022761730492746148,45141.75799999999,366.71613333333335,137383.60839999997,365.8548,0.9697980045066699,0.009462815318259063,0.7933680283728216,0.0035365244656074294,1470676.5599999998,6106.073333333334,5066552.64,6062.88,((((x)*(x))*((9)-((1)*(9))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,66,65,67,67,4
67,x*x*x*x,25,-10,0.011207524037834631,-0.0001695213980228272,0.05038857335062019,0.002168474709188344,45792.382199999985,370.13826666666665,129279.1168,353.9752,0.9516920840430196,0.009462815318259063,0.4570553225093946,0.0035742876247046467,1292493.4400000002,6105.373333333334,3167596.8,6062.88,((((x)*(x))*((x)*((6)*(6))))-((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,FellTreeD,67,66,68,68,4
68,x*x*x*x,25,-10,0.009835779433992158,0.00006869725810714508,0.03664926971905539,0.0003499542543458383,45022.10826666666,366.82753333333335,124555.3152,365.10600000000005,0.9558873561297052,0.009462815318259063,0.6626721937202805,0.003383096504757533,1208219.8666666667,6103.68,3468846.72,6062.88,((((x)*(x))*((x)*((x)-(5))))*((6)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,68,68,69,69,4
69,x*x*x*x,25,-10,-0.0004928777106759225,0.00005828609861282105,0.0542079377699331,0.00014834662135668718,45500.637800000004,366.8912666666667,128524.12959999999,366.34,0.958579966866139,0.0017971506992549994,0.7521601806568848,0.00030111585132924264,1827231.08,6111.546666666666,3694347.6,6109.8,((((x)*(x))*((6)-((x)*(7))))*((x)*((x)-((x)*(x))))),((x)+((9)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,69,68,70,70,4
70,x*x*x*x,25,-10,0.01638037843268763,0.00010702304709624113,0.05542133787580086,0.00024950986799111266,48941.00093333333,366.59293333333335,160486.2944,365.7208,0.9697980045066699,0.009462815318259063,0.18981179464609244,0.0031681622608548,1706131.8133333332,6100.506666666667,5066552.64,6062.88,((((x)*(x))*((x)*((8)-(0))))*((9)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,70,68,71,71,4
71,x*x*x*x,25,-10,-0.0012674131432182944,0.00006723966510497789,0.026163766349541505,0.0001858580577702265,59831.24306666667,366.8364666666666,154276.76239999998,366.1104,0.9397429848894844,0.003097634296170441,0.1315445103589824,0.0008326232259043094,1833834,6111.8,2539455.36,6101.84,((((x)*(x))*((6)*((3)-(9))))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|AddTreeWithAdd|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|SubXD|AddXD,MultXD,FellTreeD,70,71,72,72,4
72,x*x*x*x,25,-10,0.020220941615552875,0.00006015686910546032,0.057244504488661,0.00012279440596000646,80621.60506666666,366.87980000000005,261870.596,366.4964,0.9842476175854714,0.003097634296170441,0.944613254915589,0.0012463553860945732,2691459.5333333337,6112.973333333332,9714086.16,6101.84,((((x)*(x))*((x)*((x)*(1))))-((x)*((x)-((x)*(x))))),((x)*((9)+(x))),AddTreeWithMult|AddTreeWithSub|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,ReplaceBranchXR,72,72,73,73,4
73,x*x*x*x,25,-10,0.004708847930079263,0.000048571437096971044,0.05392208662062134,0.00011436413540713782,372626.08,366.95073333333335,760971.46,366.548,0.9975442114416911,0.003097634296170441,0.007742867655624434,0.0010286695176156978,33276667.44,6111.873333333334,62309924.64,6101.84,((((6)*(x))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((9)+(x))),AddTreeWithMult|MultXD|MultXD|SubXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,AddXD,73,73,74,74,4
74,x*x*x*x,25,-10,0.010811492031729725,0.00006273791987918589,0.05139105579383012,0.00015599268069533322,486702.0681999999,366.86400000000003,1429744.28,366.2932,0.9981581890221752,0.0028100901842896056,1.0071044236162163,0.0009911627822115176,25637088.78666666,6110.220000000001,83081272.64,6103.6,((((x)*(x))*((8)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((8)+(x))),AddTreeWithMult|MultXD|MultXD|SubXD|MultXD,MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddXD,MultXD,MutateTerminalR,73,74,75,75,4
75,x*x*x*x,25,-10,0.001593429619786494,0.00006667457949402539,0.03890951847580264,0.0002891125343092422,699069.2060666666,366.8399333333334,1829320.7544,365.4784,0.9988305402554543,0.009462815318259063,0.7919185604354798,0.003542988524351021,51479917.12,6106.526666666668,130846744.16,6062.88,((((x)*(x))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddToLeafR|MultXD|MultXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,AddXD,75,75,76,76,4
76,x*x*x*x,25,-10,0.037999113783771,0.00007707084677052724,0.05824793658893219,0.00020480982878055397,931515.3377333335,366.77626666666663,2446857.0256000003,365.9943999999999,0.9978950582585092,0.009462815318259063,0.007802664665436174,0.0033343828886598587,31917243.773333337,6104.106666666667,72695598.64,6062.88,((((7)*(x))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((x)+(x))),AddTreeWithMult|MultXD|MultXD|SubXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|AddXD,MultXD,AddXD,76,76,77,77,4
77,x*x*x*x,25,-10,0.042652567455970083,0.0002292974462590696,0.05980063427278687,0.0014407267023918444,1140640.6913333333,365.8445333333333,3101643.5272,358.4296,0.9975442114416911,0.0635733890994641,0.017507336239272857,0.023454250891409918,25030055.333333332,6021.173333333333,62309924.64,5731.68,((((x)*(6))*((x)*((x)*(x))))*((x)*((x)-((x)*(x))))),((x)*((7)*(x))),AddTreeWithMult|MultXD|MultXD|SubXD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,76,77,78,78,4
78,x*x*x*x,25,-10,0.009766695598919298,0.0008679802649301431,0.05717670010447265,0.002705071232518627,471834.0242666666,361.9352666666666,1318090.8672000002,350.6908,0.9975442124348852,0.08161024702653255,0.7963275688356881,0.030149113954682314,25271892.573333334,5904.586666666666,62309949.84,5621.28,((((6)*(x))*((x)*(x)))*((x)*((x)*((x)*(x))))),((x)*((9)*(x))),AddTreeWithMult|MultXD|MultXD|SkipD|MultXD,AddXD|AddTreeWithAdd|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,77,78,79,79,4
79,x*x*x*x,25,-10,0.00945051016653575,-0.005956094645446288,0.03958448715125549,0.0024213828257744125,555761.2634,3080894.1654000003,2122065.4008,352.4272,0.9983628441471074,0.0725918180629984,0.9887538439193099,0.02576223557917071,22459903.84,5983.759999999999,93466971.84,5676.48,((((x)*(x))*((x)*(9)))*((x)*((x)*((x)*(x))))),((x)*((8)*(x))),MultXD|DeleteNonTerminalR|SubXD|SkipD|SubXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,SubXD,MultXD,79,79,80,80,4
80,x*x*x*x,25,-10,0.033454608221956394,0.0014130179061560594,0.0588288588980667,0.003088746569075941,1091200.0850666666,358.5992,3012143.6007999997,348.3424,0.997895058988189,0.08161024702653255,0.0037973680105403878,0.029482688032998788,34164835.97333334,5854.959999999999,72695623.84,5621.28,((((x)*(x))*((7)*(x)))*((x)*((x)*((x)*(x))))),((x)*((9)*(x))),MultXD|DeleteNonTerminalR|SubXD|SkipD|SubXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,SubXD,MultXD,79,80,81,81,4
81,x*x*x*x,25,-10,0.036346763298066784,0.001153966801725266,0.0597001715790267,0.0038144033459678495,1208347.5537333332,360.18479999999994,3498726.6216,343.90079999999995,0.9981581895808286,0.08161024702653255,0.017989490090910575,0.030418458762194615,34808433.74666667,5949.653333333333,83081297.84,5621.28,((((x)*(x))*((x)*(8)))*((x)*((x)*((x)*(x))))),((x)*((9)*(x))),AddTreeWithMult|MultXD|MultXD|SkipD|MultXD,AddXD|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,ReplaceBranchXR,81,81,82,82,4
82,x*x*x*x,25,-10,0.03322914684601458,0.0012177493138151895,0.03990282239972566,0.004535877663050585,843635.2951999999,359.79439999999994,1557706.8872,339.48479999999995,0.9981581895808286,0.08161024702653255,0.7951706610503863,0.03193051957118334,29717083.24,5895.36,83081297.84,5621.28,((((x)*(x))*((x)*(8)))*((x)*((x)*((x)*(x))))),((x)*((9)*(x))),AddTreeWithMult|MultXD|MultXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,82,82,83,83,4
83,x*x*x*x,25,-10,0.05911562379165497,0.0009685879841415081,0.05911562379165497,0.002746830479675862,622893.2832,361.3194666666667,622893.2832,350.43519999999995,0.9852603965275829,0.0635733890994641,0,0.02566155863882885,10381554.72,5948.666666666667,10381554.72,5731.68,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((7)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,82,83,84,84,4
84,x*x*x*x,25,-10,0.04290817025697761,0.0014834226462771768,0.05911562414830478,0.004084956214873876,536431.8424,358.1682666666667,622893.5344,342.24479999999994,0.9852603965275829,0.08161024702653255,0,0.03217074043761839,10381554.72,5886.240000000001,10381554.72,5621.28,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((9)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,84,84,85,85,4
85,x*x*x*x,25,-10,0.05911562379165497,-0.005336443662229754,0.05911562379165497,0.005467259181806302,622893.2832,2015274.7243999997,622893.2832,333.78399999999993,0.9852603965275829,0.08161024702653255,0,0.032220662292200504,10381554.72,5916.240000000001,10381554.72,5621.28,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((9)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,84,85,86,86,4
86,x*x*x*x,25,-10,0.05911562379165497,0.0013389099464122347,0.05911562379165497,0.002833355116978175,622893.2832,359.0528,622893.2832,349.9056,0.9852603965275829,0.0635733890994641,0,0.022995006005768155,10381554.72,5890.986666666667,10381554.72,5731.68,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),((x)*((7)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|FellTreeD|MultXD|ReplaceBranchXR|MultXD,MultXD,MultXD,85,86,87,87,4
87,x*x*x*x,25,-10,0.035647797201910476,0.0017147213871825046,0.03920954857934759,0.0036588681218141443,429847.4660666667,356.75253333333325,440636.3112,344.85280000000006,0.9852603965275829,0.14970592079466746,0,0.05149305709206349,10381554.72,5624.8,10381554.72,5204.48,((((x)*(x))*((x)*(x)))*((x)*((x)-((x)*(x))))),(((x)+((5)+(x)))*((x)*(x))),MultXD|MultXD|SubXD|SkipD|MultXD,AddXD|ReplaceBranchXR|MultXD|ReplaceBranchXR|MultXD,MultXD,ReplaceBranchXR,86,87,88,88,4
